en-us	bg-bg	cs-cz	da-dk	de-de	el-gr	es-es	et-ee	fi-fi	fr-fr	ga	hr-hr	hu-hu	is-is	it-it	kk-kz	lt-lt	lv-lv	mk-mk	mt-mt	nl-nl	nb-no	pl-pl	pt-pt	ro-ro	ru-ru	sk-sk	sl-si	sq-al	sr-rs	sv-se	tr-tr	uk-ua	zh-cn	bs-ba
Powder for solution for intraocular irrigation	Прах за разтвор за вътреочна промивка	Prášek pro roztok k nitroočnímu výplachu	Pulver til intraokulær skyllevæske, opløsning	Pulver zur Herstellung einer Lösung zur intraokularen Anwendung	Κόνις για παρασκευή διαλύματος για ενδοφθάλμια έκπλυση	Polvo para solución para irrigación intraocular	Intraokulaarse loputuslahuse pulber	Jauhe huuhtelunestettä varten, silmän sisään	Poudre pour solution pour irrigation intraoculaire	Púdar le haghaidh tuaslagáin le haghaidh uisciú ionsúileach	Prašak za otopinu za intraokularni irigat	Por intraokuláris öblítőoldathoz	Duft fyrir lausn til skolunar innan auga	Polvere per soluzione per irrigazione intraoculare	Көз ішін жууға арналған ерітінді дайындау үшін қолданылатын ұнтақ	Milteliai akių plovimo tirpalui	Pulveris intraokulāra skalošanas šķīduma pagatavošanai	 - 	Trab għal soluzzjoni għall-irrigazzjoni ġo l-għajn	Poeder voor oplossing voor intraoculaire spoeling	Pulver til intraokulær skyllevæske, oppløsning	Proszek do sporządzania roztworu do irygacji śródgałkowej	Pó para solução para irrigação intraocular	Pulbere pentru soluţie pentru irigare intraoculară	Порошок для приготовления раствора для интраокулярного орошения	Prášok na roztok na vnútroočný výplach	Prašek za raztopino za intraokularno izpiranje	Pluhur për tretësirë për shpëlarje intraokulare	Prašak za rastvor za intraokularno ispiranje	Pulver till spolvätska, lösning för intraokulär användning	İntraoküler (Göz içi) yıkama çözelti tozu	Порошок для розчину для внутрішньоочного зрошення	眼内冲洗液用粉末	Prašak za rastvor za intraokularno ispiranje
Solution for intraocular irrigation	Разтвор за вътреочна промивка	Roztok k nitroočnímu výplachu	Intraokulær skyllevæske, opløsning	Lösung zur intraokularen Anwendung	Διάλυμα  για ενδοφθάλμια έκπλυση	Solución para irrigación intraocular	Intraokulaarne loputuslahus	Huuhteluneste, silmän sisään	Solution pour irrigation intraoculaire	Tuaslagán le haghaidh uisciú ionsúileach	Otopina za intraokularni irigat	 - 	Lausn til skolunar innan auga	Soluzione per irrigazione intraoculare	 - 	Akių plovimo tirpalas	Šķīdums intraokulārai skalošanai	 - 	 - 	Oplossing voor intraoculaire spoeling	Intraokulær skyllevæske, oppløsning	Roztwór do irygacji śródgałkowej	Solução para irrigação intraocular	Soluţie pentru irigare intraoculară	Раствор для интраокулярного орошения	Roztok na vnútroočný výplach	Raztopina za intraokularno izpiranje	 - 	Rastvor za intraokularno ispiranje	Spolvätska, lösning för intraokulär användning	İntraoküler (Göz içi) yıkama çözeltisi	 - 	 - 	Rastvor za intraokularno ispiranje
Solvent for solution for intraocular irrigation	Разтворител за разтвор за вътреочна промивка	Rozpouštědlo pro roztok k nitroočnímu výplachu	 - 	Lösungsmittel zur Herstellung einer Lösung zur intraokularen Anwendung	Διαλύτης για παρασκευή διαλύματος για ενδοφθάλμια έκπλυση	Disolvente para solución para irrigación intraocular	Intraokulaarse loputuslahuse lahusti	Liuotin huuhtelunestettä varten, silmän sisään	Solvant pour solution pour irrigation intraoculaire	Tuaslagóir le haghaidh tuaslagáin le haghaidh uisciú ionsúileach	Otapalo za otopinu za intraokularni irigat	Oldószer intraokuláris öblítőoldathoz	Leysir fyrir lausn til skolunar innan auga	Solvente per soluzione per irrigazione intraoculare	Көз ішін жууға арналған ерітінді дайындау үшін қолданылатын еріткіш	Tirpiklis akių plovimo tirpalui	Šķīdinātājs intraokulāra skalošanas šķīduma pagatavošanai	 - 	Solvent għal soluzzjoni għall-irrigazzjoni ġo l-għajn	Oplosmiddel voor oplossing voor intraoculaire spoeling	Oppløsningsvæske til intraokulær skyllevæske, oppløsning	Rozpuszczalnik do sporządzania roztworu do irygacji śródgałkowej	Solvente para solução para irrigação intraocular	Solvent pentru soluţie pentru irigare intraoculară	Растворитель для приготовления раствора для интраокулярного орошения	Rozpúšťadlo na roztok na vnútroočný výplach	Vehikel za raztopino za intraokularno izpiranje	Tretës për tretësirë për shpëlarje intraokulare	Rastvarač za rastvor za intraokularno ispiranje	Vätska till spolvätska, lösning för intraokulär användning	İntraoküler (Göz içi) yıkama çözeltisi çözücüsü	 - 	眼内冲洗液用溶剂	Rastvarač za rastvor za intraokularno ispiranje
Solvent for solution for infusion	Разтворител за инфузионен разтвор	Rozpouštědlo pro infuzní roztok	Solvens til infusionsvæske, opløsning	Lösungsmittel zur Herstellung einer Infusionslösung	Διαλύτης για παρασκευή διαλύματος προς έγχυση	Disolvente para solución para perfusión	Infusioonilahuse lahusti	Liuotin infuusionestettä varten, liuos	Solvant pour solution pour perfusion	Tuaslagóir le haghaidh tuaslagáin le haghaidh iondoirte	Otapalo za otopinu za infuziju	Oldószer oldatos infúzióhoz	Leysir fyrir innrennslislyf, lausn	Solvente per soluzione per infusione	Инфузияға арналған ерітінді дайындау үшін қолданылатын еріткіш	Tirpiklis infuziniam tirpalui	Šķīdinātājs infūziju šķīduma pagatavošanai	 - 	Solvent għal soluzzjoni għall-infużjoni	Oplosmiddel voor oplossing voor infusie	Oppløsningsvæske til infusjonsvæske, oppløsning	Rozpuszczalnik do sporządzania roztworu do infuzji	Solvente para solução para perfusão	Solvent pentru soluţie perfuzabilă	Растворитель для приготовления раствора для инфузий	Rozpúšťadlo na infúzny roztok	Vehikel za raztopino za infundiranje	Tretës për tretësirë për perfuzion	Rastvarač za rastvor za infuziju	Vätska till infusionsvätska, lösning	İnfüzyonluk çözelti için çözücü	Розчинник для розчину для інфузій	输液用溶剂	Rastvarač za rastvor za  infuziju
Dispersion for injection	Инжекционна дисперсия	Injekční disperze	Injektionsvæske, dispersion	Injektionsdispersion	Ενέσιμη διασπορά	Dispersión inyectable	Süstedispersioon	Injektioneste, dispersio	Dispersion injectable	Easrú le haghaidh insteallta	Disperzija za injekciju	Diszperziós injekció	Stungulyf, ördreifa	Dispersione per preparazione iniettabile	Инъекцияға арналған дисперсия	Injekcinė dispersija	Dispersija injekcijām	 - 	Dispersjoni għall-injezzjoni	Dispersie voor injectie	Injeksjonsvæske, dispersjon	Dyspersja do wstrzykiwań	Dispersão injetável	Dispersie injectabilă	Дисперсия для инъекций	Injekčná disperzia	Disperzija za injiciranje	Dispersion për injeksion	Disperzija za injekciju	Injektionsvätska, dispersion	Enjeksiyon dispersiyonu	Дисперсія для ін'єкцій	注射用分散体	Disperzija za injekciju
Concentrate for solution for injection/infusion	Концентрат за инжекционен/инфузионен разтвор	Koncentrát pro injekční/infuzní roztok	Koncentrat til injektions-/infusionsvæske, opløsning	Konzentrat zur Herstellung einer Injektions- /Infusionslösung	Πυκνό σκεύασμα για παρασκευή ενεσίμου διαλύματος ή διαλύματος προς έγχυση	Concentrado para solución inyectable y para perfusión	Süste-/infusioonilahuse kontsentraat	Injektio-/infuusiokonsentraatti, liuosta varten	Solution à diluer pour solution injectable/pour perfusion	Tiúchán le haghaidh tuaslagáin le haghaidh insteallta/iondoirte	Koncentrat za otopinu za injekciju / infuziju	 - 	Stungulyfs-/innrennslisþykkni, lausn	Concentrato per soluzione iniettabile/ per infusione	Инъекцияға/инфузияға арналған ерітінді дайындау үшін қолданылатын концентрат	Koncentratas injekciniam ar infuziniam tirpalui	Koncentrāts injekciju/ infūziju šķīduma pagatavošanai	 - 	Konċentrat għal soluzzjoni għall-injezzjoni/infużjoni	Concentraat voor oplossing voor injectie / infusie	Konsentrat til injeksjons-/infusjonsvæske, oppløsning	Koncentrat do sporządzania roztworu do wstrzykiwań / do infuzji	Concentrado para solução injetável ou para perfusão	Concentrat pentru soluţie injectabilă/perfuzabilă	Концентрат для приготовления раствора для инъекций/инфузий	Koncentrát na injekčný/infúzny roztok	Koncentrat za raztopino za injiciranje/infundiranje	Përqendresë për tretësirë për injeksion/perfuzion	Koncentrat za rastvor za injekciju/infuziju	Koncentrat till injektions-/infusionsvätska, lösning	Konsantre enjeksiyon/infüzyon çözeltisi	Концентрат розчину для ін'єкцій/інфузій	注射/输注用溶液	Koncentrat za rastvor za injekciju/ infuziju
Inhalation solution	Разтвор за инхалация	Roztok k inhalaci	Inhalationsvæske, opløsning	Lösung zur Inhalation	Εισπνεόμενο διάλυμα	Solución para inhalación	Inhalatsioonilahus	Inhalaationeste, liuos	Solution à inhaler	Tuaslagán ionanálaithe	Otopina inhalata	 - 	Innöndunarlausn	Soluzione per inalazione	Ингаляция ерітіндісі	Įkvepiamasis tirpalas	Inhalācijas šķīdums	 - 	Soluzzjoni li tittieħed man-nifs	Inhalatieoplossing	Inhalasjonsvæske, oppløsning	Roztwór do inhalacji	Solução para inalação	Soluţie de inhalat	Раствор для ингаляций	Inhalačný roztok	Raztopina za inhaliranje	Tretësirë për inhalim	Rastvor za inhalaciju	Inhalationsvätska, lösning	İnhalasyon (Soluma) çözeltisi	Розчин для інгаляцій	吸入溶液	Rastvor za inhaliranje
Oral drops, powder for suspension	Перорални капки, прах за суспензия	Perorální kapky, prášek pro suspenzi	Pulver til orale dråber, suspension	Pulver zur Herstellung von Tropfen zum Einnehmen, Suspension	Πόσιμες σταγόνες, κόνις για παρασκευή εναιωρήματος	Polvo para gotas orales en suspensión	Suukaudsed tilgad, suspensioonipulber	Tipat, jauhe suspensiota varten	Poudre pour suspension oral en gouttes	Braonta béil, púdar le haghaidh fuaidreáin	Oralne kapi, prašak za suspenziju	 - 	Duft fyrir dropa til inntöku, dreifa	Gocce orali, polvere per sospensione	Оральдік тамшылар, суспензияға арналған ұнтақ	Geriamieji lašai (milteliai suspensijai)	Pilieni iekšķīgai lietošanai, pulveris suspensijas pagatavošanai	 - 	Qtar orali, trab għal suspensjoni	Druppels voor oraal gebruik, poeder voor suspensie	Pulver til dråper, suspensjon	Krople doustne, proszek do sporządzania zawiesiny	Gotas orais, pó para suspensão	Picături orale, pulbere pentru suspensie	Капли для приема внутрь, порошок для приготовления суспензии	Prášok na perorálne suspenzné kvapky	Peroralne kapljice, prašek za suspenzijo	Pluhur për pezulli për pika që merren nga goja	Oralne kapi, prašak za suspenziju	Pulver till orala droppar, suspension	Oral (Ağızdan) damla, süspansiyon tozu	Краплі оральні, порошок для суспензії	口服滴剂，混悬液用粉末	Oralne kapi, prašak za suspenziju
Oral drops	Перорални капки	Perorální kapky	Orale dråber	Tropfen zum Einnehmen	Πόσιμες σταγόνες	Gotas orales	Suukaudsed tilgad	Tipat	Gouttes buvables	Braonta béil	Oralne kapi	Cseppek	Dropar	Gocce orali	Оральдік тамшылар	Geriamieji lašai	Pilieni, iekšķīgi	Перорални капки	Qtar orali	Druppels voor oraal gebruik	Dråper	Krople doustne	Gotas orais	Picături orale	Капли для приема внутрь	Perorálne kvapky	Peroralne kapljice	Pika që merren nga goja	Oralne kapi	Orala droppar	Oral damla	Краплі оральні	口服滴剂	 - 
Oral liquid	–	Perorální tekutina	Oral væske	Flüssigkeit zum Einnehmen	Πόσιμο υγρό	-	Suukaudne vedelik	Oraalineste	-	Leacht béil	Oralna tekućina	Belsoleges floyadék	Mixtúra	Liquido orale	Оральдік сұйықтық	Geriamasis skystis	šķidrums, iekšķīgi	Перорална течност	Likwidu orali	Vloeistof voor oraal gebruik	Mikstur	Płyn doustny	Líquido oral	Lichid oral	Жидкость для приема внутрь	Perorálna kvapalina	Peroralna tekočina	Lëng që merret nga goja	Oralna tečnost	Oral vätska	Oral sıvı	Рідина оральна	口服液体	 - 
